Player,Team_Name_Abbrev,Pos,Team_Name_Full,Team_Name_Mascot
Cooper Kupp,LAR,WR,Los Angeles Rams,Rams
Davante Adams,GNB,WR,Green Bay Packers,Packers
Tyreek Hill,KAN,WR,Kansas City Chiefs,Chiefs
Justin Jefferson,MIN,WR,Minnesota Vikings,Vikings
Mark Andrews,BAL,te,Baltimore Ravens,Ravens
Diontae Johnson,PIT,WR,Pittsburgh Steelers,Steelers
Keenan Allen,LAC,WR,Los Angeles Chargers,Chargers
Jaylen Waddle,MIA,WR,Miami Dolphins,Dolphins
Stefon Diggs,BUF,WR,Buffalo Bills,Bills
Hunter Renfrow,LVR,wr,Las Vegas Raiders,Raiders
Chris Godwin,TAM,WR,Tampa Bay Buccaneers,Buccaneers
D.J. Moore,CAR,WR,Carolina Panthers,Panthers
Travis Kelce,KAN,TE,Kansas City Chiefs,Chiefs
Marquise Brown,BAL,WR,Baltimore Ravens,Ravens
Brandin Cooks,HOU,WR,Houston Texans,Texans
Amon-Ra St. Brown,DET,wr,Detroit Lions,Lions
Michael Pittman Jr.,IND,WR,Indianapolis Colts,Colts
Jakobi Meyers,NWE,WR,New England Patriots,Patriots
Cole Beasley,BUF,wr,Buffalo Bills,Bills
Ja'Marr Chase,CIN,WR,Cincinnati Bengals,Bengals
Darnell Mooney,CHI,WR,Chicago Bears,Bears
CeeDee Lamb,DAL,WR,Dallas Cowboys,Cowboys
Dalton Schultz,DAL,TE,Dallas Cowboys,Cowboys
Christian Kirk,ARI,WR,Arizona Cardinals,Cardinals
Terry McLaurin,WAS,WR,Washington Commanders,Commanders
Deebo Samuel,SFO,WR,San Francisco 49ers,49ers
Mike Williams,LAC,WR,Los Angeles Chargers,Chargers
D.K. Metcalf,SEA,WR,Seattle Seahawks,Seahawks
Zach Ertz,2TM,,key does not exist --> 2TM,2TM
Mike Evans,TAM,WR,Tampa Bay Buccaneers,Buccaneers
Najee Harris,PIT,RB,Pittsburgh Steelers,Steelers
